category,skill,resumes,share_in_category,lift
ACCOUNTANT,tax,29,0.26126126126126126,6.29836287900804
ACCOUNTANT,video,2,0.018018018018018018,0.561061061061061
ACCOUNTANT,clients,26,0.23423423423423423,1.1245249532187434
ACCOUNTANT,2k,1,0.009009009009009009,2.8854568854568856
ACCOUNTANT,audio editing,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,cost analysis,2,0.018018018018018018,2.0198198198198196
ACCOUNTANT,accounts receivables,8,0.07207207207207207,8.976976976976976
ACCOUNTANT,works,5,0.04504504504504504,1.53016653016653
ACCOUNTANT,dos,1,0.009009009009009009,2.0198198198198196
ACCOUNTANT,mis,3,0.02702702702702703,2.7542997542997543
ACCOUNTANT,adobe illustrator,1,0.009009009009009009,0.8415915915915917
ACCOUNTANT,modeling,2,0.018018018018018018,1.1541827541827543
ACCOUNTANT,debit,5,0.04504504504504504,5.049549549549549
ACCOUNTANT,budget preparation,4,0.036036036036036036,7.344799344799345
ACCOUNTANT,pagemaker,1,0.009009009009009009,5.04954954954955
ACCOUNTANT,windows 9.x,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,developer 2000,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,inspection,2,0.018018018018018018,0.585455020237629
ACCOUNTANT,oracle 8i,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,reconciliation,2,0.018018018018018018,3.3663663663663668
ACCOUNTANT,web portal,1,0.009009009009009009,6.7327327327327335
ACCOUNTANT,basic,3,0.02702702702702703,0.5458972485999514
ACCOUNTANT,tax returns,15,0.13513513513513514,7.76853776853777
ACCOUNTANT,employee training,1,0.009009009009009009,0.9180999180999181
ACCOUNTANT,as/400,1,0.009009009009009009,3.3663663663663668
ACCOUNTANT,bank reconciliation,11,0.0990990990990991,8.545391545391546
ACCOUNTANT,general ledger,41,0.36936936936936937,9.201401401401402
ACCOUNTANT,automate,1,0.009009009009009009,1.4427284427284428
ACCOUNTANT,hardware,2,0.018018018018018018,0.3311180032491508
ACCOUNTANT,order entry,2,0.018018018018018018,4.488488488488488
ACCOUNTANT,pricing,8,0.07207207207207207,1.2526014386479503
ACCOUNTANT,software documentation,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,accounting systems,8,0.07207207207207207,11.541827541827542
ACCOUNTANT,marketing,5,0.04504504504504504,0.2722129137223476
ACCOUNTANT,spreadsheet,11,0.0990990990990991,5.29000429000429
ACCOUNTANT,cash,4,0.036036036036036036,2.9923256589923257
ACCOUNTANT,ibm,1,0.009009009009009009,0.561061061061061
ACCOUNTANT,spreadsheets,9,0.08108108108108109,2.796673596673597
ACCOUNTANT,database,13,0.11711711711711711,1.0378520813303422
ACCOUNTANT,cl,1,0.009009009009009009,6.7327327327327335
ACCOUNTANT,client,16,0.14414414414414414,0.8504504504504505
ACCOUNTANT,budgeting,16,0.14414414414414414,2.544654891111584
ACCOUNTANT,train employees,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,program development,2,0.018018018018018018,2.693093093093093
ACCOUNTANT,software development,1,0.009009009009009009,0.7480814147480814
ACCOUNTANT,reports,1,0.009009009009009009,5.04954954954955
ACCOUNTANT,general accounting,9,0.08108108108108109,9.08918918918919
